furnizor,categorie,tip_toc,reglaj,decor,finisaj,pret eur/buc
Stoc,Tocuri,Reglabil,100-120,Inova Laminat,Inova Laminat,115
Stoc,Tocuri,Reglabil,120-140,Inova Laminat,Inova Laminat,115
Stoc,Tocuri,Reglabil,140-160,Inova Laminat,Inova Laminat,115
Stoc,Tocuri,Reglabil,160-180,Inova Laminat,Inova Laminat,115
Stoc,Tocuri,Reglabil,180-200,Inova Laminat,Inova Laminat,136
Stoc,Tocuri,Reglabil,200-220,Inova Laminat,Inova Laminat,136
Stoc,Tocuri,Reglabil,220-240,Inova Laminat,Inova Laminat,136
Stoc,Tocuri,Reglabil,240-260,Inova Laminat,Inova Laminat,136
Stoc,Tocuri,Reglabil,260-280,Inova Laminat,Inova Laminat,136
Stoc,Tocuri,Reglabil,280-300,Inova Laminat,Inova Laminat,136
Stoc,Tocuri,Reglabil,300-320,Inova Laminat,Inova Laminat,177
Stoc,Tocuri,Reglabil,320-340,Inova Laminat,Inova Laminat,177
Stoc,Tocuri,Reglabil,340-360,Inova Laminat,Inova Laminat,177
Stoc,Tocuri,Reglabil,360-380,Inova Laminat,Inova Laminat,177
Stoc,Tocuri,Reglabil,380-400,Inova Laminat,Inova Laminat,177
Stoc,Tocuri,Reglabil,400-420,Inova Laminat,Inova Laminat,177
Stoc,Tocuri,Reglabil,420-440,Inova Laminat,Inova Laminat,198
Stoc,Tocuri,Reglabil,440-460,Inova Laminat,Inova Laminat,198
Stoc,Tocuri,Reglabil,460-480,Inova Laminat,Inova Laminat,198
Stoc,Tocuri,Reglabil,480-500,Inova Laminat,Inova Laminat,198
