categorie,cod_model,lungime,lungime_cm,decor,pret_eur
BARA TRAGATOARE,K35,lungime 180 cm,180,INOX,181
BARA TRAGATOARE,K35,lungime 180 cm,180,NEGRU,235
BARA TRAGATOARE,K35,lungime 160 cm,160,INOX,171
BARA TRAGATOARE,K35,lungime 160 cm,160,NEGRU,222
BARA TRAGATOARE,K35,lungime 120 cm,120,INOX,155
BARA TRAGATOARE,K35,lungime 120 cm,120,NEGRU,203
BARA TRAGATOARE,K35,lungime 60cm,60,INOX,130
BARA TRAGATOARE,K35,lungime 60cm,60,NEGRU,171
BARA TRAGATOARE,KK35,lungime 180 cm,180,INOX,162
BARA TRAGATOARE,KK35,lungime 180 cm,180,NEGRU,209
BARA TRAGATOARE,KK35,lungime 160 cm,160,INOX,152
BARA TRAGATOARE,KK35,lungime 160 cm,160,NEGRU,200
BARA TRAGATOARE,KK35,lungime 120 cm,120,INOX,136
BARA TRAGATOARE,KK35,lungime 120 cm,120,NEGRU,178
BARA TRAGATOARE,KK35,lungimet 60cm,60,INOX,111
BARA TRAGATOARE,KK35,lungimet 60cm,60,NEGRU,146
BARA TRAGATOARE,KP,lungime 180 cm,180,INOX,162
BARA TRAGATOARE,KP,lungime 180 cm,180,NEGRU,209
BARA TRAGATOARE,KP,lungime160 cm,160,INOX,152
BARA TRAGATOARE,KP,lungime160 cm,160,NEGRU,200
BARA TRAGATOARE,KP,lungime 120 cm,120,INOX,136
BARA TRAGATOARE,KP,lungime 120 cm,120,NEGRU,178
BARA TRAGATOARE,KP,lungime 60cm,60,INOX,111
BARA TRAGATOARE,KP,lungime 60cm,60,NEGRU,146
BARA TRAGATOARE,KPL2,lungime 180 cm,180,INOX,212
BARA TRAGATOARE,KPL2,lungime 180 cm,180,NEGRU,276
BARA TRAGATOARE,KPL2,lungime 160 cm,160,INOX,203
BARA TRAGATOARE,KPL2,lungime 160 cm,160,NEGRU,263
BARA TRAGATOARE,KPL2,lungime120 cm,120,INOX,187
BARA TRAGATOARE,KPL2,lungime120 cm,120,NEGRU,241
BARA TRAGATOARE,KPL2,lungime 60cm,60,INOX,162
BARA TRAGATOARE,KPL2,lungime 60cm,60,NEGRU,209
BARA TRAGATOARE,OP,lungime 180 cm,180,INOX,162
BARA TRAGATOARE,OP,lungime 180 cm,180,NEGRU,209
BARA TRAGATOARE,OP,lungime 160 cm,160,INOX,152
BARA TRAGATOARE,OP,lungime 160 cm,160,NEGRU,200
BARA TRAGATOARE,OP,lungime 120 cm,120,INOX,136
BARA TRAGATOARE,OP,lungime 120 cm,120,NEGRU,178
BARA TRAGATOARE,OP,lungime 60cm,60,INOX,111
BARA TRAGATOARE,OP,lungime 60cm,60,NEGRU,146
BARA TRAGATOARE,P6K,lungime 120 cm,120,INOX,244
BARA TRAGATOARE,P6K,lungime 120 cm,120,NEGRU,317
BARA TRAGATOARE,P6K,lungime 60cm,60,INOX,171
BARA TRAGATOARE,P6K,lungime 60cm,60,NEGRU,225
